referrer,views_total,views_unique
pigeons.run,132,5
Google,79,8
Bing,75,2
github.com,26,8
stat.ubc.ca,4,3
discourse.julialang.org,3,1
statmodeling.stat.columbia.edu,3,1
stat.paperswithcode.com,3,1
trevorcampbell.me,1,1
saifsyed.com,1,1
