referrer,views_total,views_unique
Google,283,14
github.com,35,7
pigeons.run,29,4
discourse.julialang.org,20,15
stat.ubc.ca,4,3
Bing,3,1
DuckDuckGo,2,1
trevorcampbell.me,1,1
