referrer,views_total,views_unique
pigeons.run,154,3
julia-tempering.github.io,72,3
DuckDuckGo,37,1
juliapackages.com,17,1
Google,16,8
github.com,10,5
stat.ubc.ca,3,3
Bing,1,1
linkedin.com,1,1
