referrer,views_total,views_unique
github.com,67,15
Google,43,11
pigeons.run,36,9
stat.ubc.ca,5,3
discourse.julialang.org,3,1
juliaregistries.github.io,2,1
go.bsky.app,1,1
search.brave.com,1,1
