referrer,views_total,views_unique
github.com,70,4
Google,29,15
pigeons.run,20,1
stat.paperswithcode.com,2,2
stat.ubc.ca,2,2
astrozot.github.io,2,1
Bing,1,1
nikola-sur.netlify.app,1,1
itsdfish.github.io,1,1
DuckDuckGo,1,1
