referrer,views_total,views_unique
Google,44,9
pigeons.run,33,6
github.com,25,6
Bing,17,1
DuckDuckGo,5,1
stat.ubc.ca,4,3
discourse.julialang.org,1,1
saifsyed.com,1,1
