url_path,views_total,views_unique
/Julia-Tempering/Pigeons.jl,56,28
/Julia-Tempering/Pigeons.jl/tree/main/examples,40,2
/Julia-Tempering/Pigeons.jl/issues,32,3
/Julia-Tempering/Pigeons.jl/tree/d55b80babb3afa75d9e4ab382e37bbb8d4bd152f/examples,26,1
/Julia-Tempering/Pigeons.jl/tree/main/docs,15,3
/Julia-Tempering/Pigeons.jl/issues/212,9,3
/Julia-Tempering/Pigeons.jl/blob/main/docs/src/index.md,9,2
/Julia-Tempering/Pigeons.jl/tree/main,7,3
/Julia-Tempering/Pigeons.jl/blob/main/docs/make.jl,6,2
/Julia-Tempering/Pigeons.jl/blob/main/examples/turing-galaxy.jl,6,2
