time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,160,33,209,5
2026-01-20 00:00:00+00:00,179,41,60,12
2026-01-21 00:00:00+00:00,16,8,57,10
2026-01-22 00:00:00+00:00,11,7,7,6
2026-01-23 00:00:00+00:00,5,5,6,4
2026-01-24 00:00:00+00:00,20,8,9,6
2026-01-25 00:00:00+00:00,17,8,13,5
2026-01-26 00:00:00+00:00,16,11,19,5
2026-01-27 00:00:00+00:00,4,4,6,5
2026-01-28 00:00:00+00:00,11,7,12,4
2026-01-29 00:00:00+00:00,13,9,6,3
2026-01-30 00:00:00+00:00,3,3,5,3
2026-01-31 00:00:00+00:00,9,5,38,5
2026-02-01 00:00:00+00:00,7,6,20,4
