referrer,views_total,views_unique
github.com,87,9
Google,31,15
DuckDuckGo,6,1
stat.ubc.ca,4,2
pigeons.run,3,2
Bing,3,1
trevorcampbell.me,2,1
nikola-sur.netlify.app,1,1
