referrer,views_total,views_unique
Google,65,9
discourse.julialang.org,25,2
pigeons.run,18,3
search.brave.com,15,1
github.com,7,4
DuckDuckGo,5,2
nikola-sur.netlify.app,1,1
stat.ubc.ca,1,1
