referrer,views_total,views_unique
github.com,131,8
Google,58,17
pigeons.run,11,3
DuckDuckGo,6,1
stat.ubc.ca,4,2
Bing,3,1
trevorcampbell.me,2,1
nikola-sur.netlify.app,1,1
