referrer,views_total,views_unique
Google,47,13
github.com,29,5
pigeons.run,22,3
stat.ubc.ca,8,6
search.brave.com,4,1
discourse.julialang.org,3,3
Bing,3,2
nikola-sur.netlify.app,1,1
