referrer,views_total,views_unique
Google,155,12
DuckDuckGo,30,4
pigeons.run,26,4
search.brave.com,15,1
github.com,9,3
discourse.julialang.org,4,2
stat.ubc.ca,3,3
nikola-sur.netlify.app,3,3
discourse.mc-stan.org,1,1
juliapackages.com,1,1
