referrer,views_total,views_unique
pigeons.run,257,6
DuckDuckGo,52,1
github.com,39,7
saifsyed.com,22,2
arxiv.org,19,2
Google,17,10
juliapackages.com,17,1
stat.ubc.ca,11,4
nikola-sur.netlify.app,9,1
