referrer,views_total,views_unique
github.com,89,10
pigeons.run,27,7
Google,26,12
Bing,4,1
juliaregistries.github.io,4,1
discourse.julialang.org,3,3
DuckDuckGo,3,1
stat.ubc.ca,2,2
julialang.org,1,1
nikola-sur.netlify.app,1,1
