referrer,views_total,views_unique
julia-tempering.github.io,352,6
Google,58,10
github.com,44,10
t.co,28,16
pretalx.com,26,9
linkedin.com,14,11
com.linkedin.android,10,7
DuckDuckGo,3,1
saifsyed.com,2,2
com.google.android.gm,2,1
