referrer,views_total,views_unique
julia-tempering.github.io,102,6
Google,49,11
github.com,20,8
pigeons.run,4,1
stat.ubc.ca,2,2
pretalx.com,1,1
Bing,1,1
nikola-sur.netlify.app,1,1
com.google.android.gm,1,1
linkedin.com,1,1
