time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,19,14,7,7
2026-04-04 00:00:00+00:00,23,10,43,41
2026-04-05 00:00:00+00:00,20,14,68,68
2026-04-06 00:00:00+00:00,9,5,9,8
2026-04-07 00:00:00+00:00,14,9,72,59
2026-04-08 00:00:00+00:00,13,9,17,4
2026-04-09 00:00:00+00:00,25,11,46,28
2026-04-10 00:00:00+00:00,41,21,23,7
2026-04-11 00:00:00+00:00,41,25,5,4
2026-04-12 00:00:00+00:00,48,29,29,16
2026-04-13 00:00:00+00:00,6,6,14,11
2026-04-14 00:00:00+00:00,45,13,16,7
2026-04-15 00:00:00+00:00,14,10,23,15
2026-04-16 00:00:00+00:00,34,11,11,8
