time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-26 00:00:00+00:00,27.0,4.0,30.0,7.0
2024-11-27 00:00:00+00:00,3.0,2.0,7.0,5.0
2024-11-28 00:00:00+00:00,4.0,2.0,25.0,4.0
2024-11-29 00:00:00+00:00,1.0,1.0,11.0,4.0
2024-11-30 00:00:00+00:00,13.0,3.0,1.0,1.0
2024-12-01 00:00:00+00:00,13.0,3.0,20.0,2.0
2024-12-02 00:00:00+00:00,14.0,4.0,21.0,3.0
2024-12-03 00:00:00+00:00,50.0,6.0,9.0,5.0
2024-12-04 00:00:00+00:00,4.0,1.0,21.0,9.0
2024-12-05 00:00:00+00:00,,,53.0,9.0
2024-12-06 00:00:00+00:00,5.0,4.0,,
2024-12-07 00:00:00+00:00,14.0,4.0,25.0,6.0
2024-12-08 00:00:00+00:00,4.0,2.0,7.0,4.0
2024-12-09 00:00:00+00:00,1.0,1.0,30.0,8.0
