time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-07 00:00:00+00:00,15.0,7.0,12,8
2025-08-08 00:00:00+00:00,16.0,10.0,63,4
2025-08-09 00:00:00+00:00,16.0,10.0,3,1
2025-08-10 00:00:00+00:00,13.0,6.0,2,2
2025-08-11 00:00:00+00:00,54.0,14.0,22,3
2025-08-12 00:00:00+00:00,62.0,11.0,12,5
2025-08-13 00:00:00+00:00,18.0,10.0,5,4
2025-08-14 00:00:00+00:00,17.0,4.0,36,5
2025-08-15 00:00:00+00:00,,,72,4
2025-08-16 00:00:00+00:00,,,36,9
2025-08-17 00:00:00+00:00,,,19,6
2025-08-18 00:00:00+00:00,,,108,12
2025-08-19 00:00:00+00:00,,,14,3
2025-08-20 00:00:00+00:00,,,27,3
