time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,16,7,2,2
2026-07-29 00:00:00+00:00,11,6,1,1
2026-07-30 00:00:00+00:00,22,8,7,2
2026-07-31 00:00:00+00:00,14,5,7,7
2026-08-01 00:00:00+00:00,3,3,9,4
2026-08-02 00:00:00+00:00,6,5,3,3
2026-08-03 00:00:00+00:00,13,8,32,13
2026-08-04 00:00:00+00:00,8,8,10,6
2026-08-05 00:00:00+00:00,9,5,9,4
2026-08-06 00:00:00+00:00,16,6,17,5
2026-08-07 00:00:00+00:00,18,11,20,6
2026-08-08 00:00:00+00:00,15,9,7,3
2026-08-09 00:00:00+00:00,6,5,6,3
2026-08-10 00:00:00+00:00,3,3,2,2
