referrer,views_total,views_unique
pigeons.run,178,10
Google,67,17
github.com,63,9
Bing,60,2
arxiv.org,20,2
stat.ubc.ca,9,5
nikola-sur.netlify.app,1,1
DuckDuckGo,1,1
