referrer,views_total,views_unique
Google,85,17
github.com,19,6
pigeons.run,16,3
com.google.android.gm,7,3
Bing,4,2
juliapackages.com,1,1
astrozot.github.io,1,1
mail.google.com,1,1
juliadecisionfocusedlearning.github.io,1,1
stat.ubc.ca,1,1
