time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-17 00:00:00+00:00,5,3,10,2
2023-05-18 00:00:00+00:00,6,4,95,1
2023-05-19 00:00:00+00:00,7,5,53,4
2023-05-20 00:00:00+00:00,6,4,2,2
2023-05-21 00:00:00+00:00,6,4,15,2
2023-05-22 00:00:00+00:00,9,6,39,4
2023-05-23 00:00:00+00:00,50,7,10,4
2023-05-24 00:00:00+00:00,98,6,40,6
2023-05-25 00:00:00+00:00,64,8,120,4
2023-05-26 00:00:00+00:00,64,6,55,6
2023-05-27 00:00:00+00:00,29,8,9,3
2023-05-28 00:00:00+00:00,5,3,15,2
2023-05-29 00:00:00+00:00,77,9,0,0
2023-05-30 00:00:00+00:00,177,12,21,3
2023-05-31 00:00:00+00:00,9,5,95,10
2023-06-01 00:00:00+00:00,9,3,29,4
2023-06-02 00:00:00+00:00,16,5,14,3
2023-06-03 00:00:00+00:00,8,5,4,3
2023-06-04 00:00:00+00:00,7,4,0,0
2023-06-05 00:00:00+00:00,11,7,15,3
2023-06-06 00:00:00+00:00,49,6,76,4
2023-06-07 00:00:00+00:00,3,2,21,5
2023-06-08 00:00:00+00:00,6,4,6,3
2023-06-09 00:00:00+00:00,7,5,101,1
2023-06-10 00:00:00+00:00,6,4,27,4
2023-06-11 00:00:00+00:00,6,4,28,5
2023-06-12 00:00:00+00:00,5,4,8,3
2023-06-13 00:00:00+00:00,6,4,0,0
2023-06-14 00:00:00+00:00,5,3,26,3
2023-06-15 00:00:00+00:00,7,5,4,2
2023-06-16 00:00:00+00:00,6,4,8,5
2023-06-17 00:00:00+00:00,5,3,38,3
2023-06-18 00:00:00+00:00,6,4,6,1
2023-06-19 00:00:00+00:00,9,6,2,1
2023-06-20 00:00:00+00:00,7,5,7,3
2023-06-21 00:00:00+00:00,7,5,41,5
2023-06-22 00:00:00+00:00,10,6,0,0
2023-06-23 00:00:00+00:00,6,4,4,4
2023-06-24 00:00:00+00:00,5,3,1,1
2023-06-25 00:00:00+00:00,6,4,0,0
2023-06-26 00:00:00+00:00,9,7,1,1
2023-06-27 00:00:00+00:00,6,5,2,2
2023-06-28 00:00:00+00:00,5,3,75,4
2023-06-29 00:00:00+00:00,6,4,21,4
2023-06-30 00:00:00+00:00,6,4,7,2
2023-07-01 00:00:00+00:00,6,4,3,1
2023-07-02 00:00:00+00:00,6,4,0,0
2023-07-03 00:00:00+00:00,7,5,3,3
2023-07-04 00:00:00+00:00,5,3,2,1
2023-07-05 00:00:00+00:00,24,5,11,7
2023-07-06 00:00:00+00:00,26,5,5,2
2023-07-07 00:00:00+00:00,35,6,12,5
2023-07-08 00:00:00+00:00,44,8,2,2
2023-07-09 00:00:00+00:00,8,4,5,1
2023-07-10 00:00:00+00:00,7,5,5,3
2023-07-11 00:00:00+00:00,56,5,7,1
2023-07-12 00:00:00+00:00,56,5,322,5
2023-07-13 00:00:00+00:00,26,5,45,4
2023-07-14 00:00:00+00:00,131,4,113,2
2023-07-15 00:00:00+00:00,55,10,249,4
2023-07-16 00:00:00+00:00,20,6,4,2
2023-07-17 00:00:00+00:00,39,10,80,7
2023-07-18 00:00:00+00:00,40,8,46,9
2023-07-19 00:00:00+00:00,67,11,174,5
2023-07-20 00:00:00+00:00,118,6,34,5
2023-07-21 00:00:00+00:00,217,8,88,6
2023-07-22 00:00:00+00:00,142,12,4,1
2023-07-23 00:00:00+00:00,25,4,0,0
2023-07-24 00:00:00+00:00,153,8,125,7
2023-07-25 00:00:00+00:00,235,17,103,9
2023-07-26 00:00:00+00:00,7,5,158,11
2023-07-27 00:00:00+00:00,8,4,61,9
2023-07-28 00:00:00+00:00,28,7,119,16
2023-07-29 00:00:00+00:00,13,4,18,1
2023-07-30 00:00:00+00:00,13,4,77,5
2023-07-31 00:00:00+00:00,27,8,101,27
2023-08-01 00:00:00+00:00,67,10,109,14
2023-08-02 00:00:00+00:00,5,3,65,10
2023-08-03 00:00:00+00:00,5,3,7,5
2023-08-04 00:00:00+00:00,21,4,50,7
2023-08-05 00:00:00+00:00,5,3,32,9
2023-08-06 00:00:00+00:00,6,4,12,2
2023-08-07 00:00:00+00:00,9,7,47,4
2023-08-08 00:00:00+00:00,25,4,23,4
2023-08-09 00:00:00+00:00,15,5,118,10
2023-08-10 00:00:00+00:00,6,4,26,6
2023-08-11 00:00:00+00:00,6,4,11,4
2023-08-12 00:00:00+00:00,6,4,0,0
2023-08-13 00:00:00+00:00,5,3,2,2
2023-08-14 00:00:00+00:00,6,4,26,4
2023-08-15 00:00:00+00:00,6,3,14,4
2023-08-16 00:00:00+00:00,6,4,46,7
2023-08-17 00:00:00+00:00,19,7,113,8
2023-08-18 00:00:00+00:00,123,19,148,10
2023-08-19 00:00:00+00:00,6,5,9,4
2023-08-20 00:00:00+00:00,40,9,11,2
2023-08-21 00:00:00+00:00,21,8,59,10
2023-08-22 00:00:00+00:00,5,4,30,11
2023-08-23 00:00:00+00:00,4,3,42,5
2023-08-24 00:00:00+00:00,16,6,73,4
2023-08-25 00:00:00+00:00,6,5,6,3
2023-08-26 00:00:00+00:00,5,4,1,1
2023-08-27 00:00:00+00:00,6,5,1,1
2023-08-28 00:00:00+00:00,8,7,8,3
2023-08-29 00:00:00+00:00,20,6,22,3
2023-08-30 00:00:00+00:00,90,14,120,7
2023-08-31 00:00:00+00:00,164,15,7,3
2023-09-01 00:00:00+00:00,17,5,29,4
2023-09-02 00:00:00+00:00,9,5,2,1
2023-09-03 00:00:00+00:00,6,5,10,4
2023-09-04 00:00:00+00:00,5,4,14,4
2023-09-05 00:00:00+00:00,5,4,27,7
2023-09-06 00:00:00+00:00,45,8,190,4
2023-09-07 00:00:00+00:00,83,12,11,5
2023-09-08 00:00:00+00:00,64,11,13,2
2023-09-09 00:00:00+00:00,7,4,61,2
2023-09-10 00:00:00+00:00,5,4,14,3
2023-09-11 00:00:00+00:00,38,12,28,5
2023-09-12 00:00:00+00:00,88,9,70,10
2023-09-13 00:00:00+00:00,25,10,50,7
2023-09-14 00:00:00+00:00,41,10,16,3
2023-09-15 00:00:00+00:00,10,5,29,5
2023-09-16 00:00:00+00:00,7,5,8,3
2023-09-17 00:00:00+00:00,2,2,1,1
2023-09-18 00:00:00+00:00,6,6,77,6
2023-09-19 00:00:00+00:00,53,4,45,1
2023-09-20 00:00:00+00:00,80,12,26,4
2023-09-21 00:00:00+00:00,20,9,9,4
2023-09-22 00:00:00+00:00,54,6,5,3
2023-09-23 00:00:00+00:00,81,13,6,3
2023-09-24 00:00:00+00:00,9,6,2,2
2023-09-25 00:00:00+00:00,36,7,11,4
2023-09-26 00:00:00+00:00,132,10,46,7
2023-09-27 00:00:00+00:00,160,7,144,12
2023-09-28 00:00:00+00:00,89,8,112,6
2023-09-29 00:00:00+00:00,87,10,72,4
2023-09-30 00:00:00+00:00,64,9,7,2
2023-10-01 00:00:00+00:00,7,5,7,5
2023-10-02 00:00:00+00:00,4,4,61,4
2023-10-03 00:00:00+00:00,36,7,56,5
2023-10-04 00:00:00+00:00,92,17,76,6
2023-10-05 00:00:00+00:00,18,9,62,7
2023-10-06 00:00:00+00:00,8,5,94,4
2023-10-07 00:00:00+00:00,52,11,31,6
2023-10-08 00:00:00+00:00,28,8,81,4
2023-10-09 00:00:00+00:00,10,8,36,4
2023-10-10 00:00:00+00:00,17,10,11,2
2023-10-11 00:00:00+00:00,3,3,55,5
2023-10-12 00:00:00+00:00,6,6,90,3
2023-10-13 00:00:00+00:00,4,4,28,5
2023-10-14 00:00:00+00:00,2,2,14,2
2023-10-15 00:00:00+00:00,3,3,0,0
2023-10-16 00:00:00+00:00,4,4,50,3
